,ID,Q0_age,Q0_gender,Q0_postcode,Q0_education_NL,Q0_employment_ID_NL,Q1_home_ID_NL_US,Q2_floors_1,Q2_floors_2,Q2_floors_3,Q3_constr_qual,Q4_home_size_CN_ID_NL,Q5_home_tenure,Q5a_mortgage,Q5b_home_sell,Q6_home_costs,Q7_move_in,Q8_move_out,Q9_easy_leave,Q10_community,Q11_search_improve,Q11_search_social,Q11_search_family,Q11_search_area,Q11_search_job,Q11_search_location,Q11_search_hazard,Q11_search_other,Q11_search_dontknow,Q11a_hazard_type1,Q11a_hazard_type2,Q11a_hazard_type3,Q11a_hazard_type4,Q11a_hazard_type5,Q11a_hazard_type6,Q11a_hazard_type7,Q11a_hazard_type8,Q11a_hazard_type9,Q11a_not_say,Q12_risk_aversion,R01_resilience_1,R01_resilience_2,R01_resilience_3,R01_resilience_4,R01_resilience_5,R01_resilience_6,Q14_early_warn,Q15_responsibility,Q16_compens_gov,Q17_compens_noone,Q17_compens_ins,Q17_compens_owner,Q17_compens_family,Q17_compens_ngo,Q17_compens_other,Q17_compens_dont_know,Q18_flood_exp,Q18a_flood_where,Q18b_flood_year,Q18c_flood_health,Q18ci_flood_work,Q18d_flood_cost,Q20_support_accom,Q21_support_financial,Q22_gov_measures,R02_perc_prob,Q24_perc_prob_change,R03_perc_damage,Q27_perc_prob_30y,R04_perc_health,R05_worry,R06a_media_freq,R06b_social_media_freq,Q31a_media_trust,Q31b_social_media_trust,Q32_climate_belief,Q33_climate_affect,R1a_self_efficacy_SM1,R1a_self_efficacy_SM2,R1a_self_efficacy_SM3,R1a_self_efficacy_SM4,R1a_self_efficacy_SM5,R1a_self_efficacy_SM6,R1a_self_efficacy_SM7,R1b_resp_efficacy_SM1,R1b_resp_efficacy_SM2,R1b_resp_efficacy_SM3,R1b_resp_efficacy_SM4,R1b_resp_efficacy_SM5,R1b_resp_efficacy_SM6,R1b_resp_efficacy_SM7,R1c_perc_cost_SM1,R1c_perc_cost_SM2,R1c_perc_cost_SM3,R1c_perc_cost_SM4,R1c_perc_cost_SM5,R1c_perc_cost_SM6,R1c_perc_cost_SM7,R2_implementation_SM1,R2_implementation_SM2,R2_implementation_SM3,R2_implementation_SM4,R2_implementation_SM5,R2_implementation_SM6,R2_implementation_SM7,Q37_dam_reduction,R1a_self_efficacy_NM1 ,R1a_self_efficacy_NM2,R1a_self_efficacy_NM3,R1a_self_efficacy_NM4,R1a_self_efficacy_NM5,R1a_self_efficacy_NM6,R1a_self_efficacy_NM7,R1a_self_efficacy_NM8,R1a_self_efficacy_NM9,R1a_self_efficacy_NM10,R1a_self_efficacy_NM11,R1b_resp_efficacy_NM1,R1b_resp_efficacy_NM2,R1b_resp_efficacy_NM3,R1b_resp_efficacy_NM4,R1b_resp_efficacy_NM5,R1b_resp_efficacy_NM6,R1b_resp_efficacy_NM7,R1b_resp_efficacy_NM8,R1b_resp_efficacy_NM9,R1b_resp_efficacy_NM10,R1b_resp_efficacy_NM11,R1c_perc_cost_NM1,R1c_perc_cost_NM2,R1c_perc_cost_NM3,R1c_perc_cost_NM4,R1c_perc_cost_NM5,R1c_perc_cost_NM6,R1c_perc_cost_NM7,R1c_perc_cost_NM8,R1c_perc_cost_NM9,R1c_perc_cost_NM10,R1c_perc_cost_NM11,R2_implementation_NM1,R2_implementation_NM2,R2_implementation_NM3,R2_implementation_NM4,R2_implementation_NM5,R2_implementation_NM6,R2_implementation_NM7,R2_implementation_NM8,R2_implementation_NM9,R2_implementation_NM10,R2_implementation_NM11,Q44_social_expectation,R07_adaptation_others,Q46_dikes_NL,Q47b_industry_type_NL,Q48_business_owner,Q49_self_employed_NL,Q50_employer_size,Q51_unempl_time,Q52_multiple_income,Q52a_income_job,Q53_income_NL,R08_economic_comfort,R09_savings_change,R09a_savings_change_frac,Q56_savings_change_future,Q56a_savings_change_future_frac,Q57_hh_size_NL,Q58_savings,Q59_disability,Q60_child,Q60_elder,Q60_no,Q60_not_say,Q61_single_parent,Q0_education_CN,Q0_employment_CN,Q1_home_CN,Q41_ins_CN_ID_US,Q41a_property_CN_ID_US,Q41a_possessions_CN_ID_US,Q41b_ins_intention_CN_ID_US,Q41c_ins_self_efficacy_CN_ID_US,Q42_ins_resp_efficacy_CN_ID_US,Q43_ins_perc_cost_CN_ID_US,Q47a_employer_type_CN_ID,Q47b_industry_type_CN_ID,Q53_income_CN,Q57_hh_size_CN_ID,Q0_ethnicity_ID,Q0_education_ID,Q19_flood_affect_ID,Q19a_flood_cost_ID,Q26_flood_damage_ID,Q53_income_ID,Q0_race_US,Q0_education_US,Q0_employment_US,Q0_state_US,Q4_home_size_US,Q20_evac_accom,Q47a_employer_type_US,Q47b_industry_type_US,Q53_income_US,Q57_hh_size_US,Q61
0,11,5,2,4614.0,2.0,7.0,2.0,0.0,1.0,1.0,1,4.0,2,4.0,275000.0,1000,1988,4,2,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,2,2,5,1,3,3,2,98,3,,0,0,0.0,0,0,0,1,0.0,,,,,,1.0,2,2,1,2,1.0,0.0,1,1,1,1,3,3,1,3,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,,5,3,1,1,1,5,5,5,1,3,5,5,1,1,1,1,3,5,5,3,1,5,1,3,5,1,1,3,1,1,3,5,1,1,6,6,6,6,1,1,6,6,6,1,5,98,1.0,,0,0.0,,,0,,3.0,4,2,,2,,2.0,2,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,4,2,4611.0,2.0,97.0,97.0,0.0,1.0,1.0,2,98.0,1,,,1000,2009,4,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,1,2,5,4,5,2,3,98,3,,0,0,1.0,0,0,0,0,0.0,,,,,,1.0,1,2,98,2,98.0,0.0,3,2,3,1,4,1,2,3,1,1,1,1,1,1,1,3,4,3,4,2,4,3,4,5,3,3,4,3,3,6,6,6,6,6,6,6,,4,3,1,3,3,1,4,2,2,3,4,5,3,4,3,3,4,5,4,3,4,5,2,3,5,2,2,4,1,2,2,2,2,6,6,6,6,6,6,1,6,6,6,6,1,1,98.0,,0,0.0,,,0,,2.0,3,2,,2,,2.0,2,1,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,175,4,1,3059.0,3.0,1.0,2.0,0.0,1.0,1.0,1,4.0,2,1.0,300000.0,2200,2001,3,5,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,3,2,3,1,2,4,2,0,1,75.0,0,0,0.0,0,0,0,1,0.0,,,,,,1.0,2,1,6,1,5.0,20.0,4,1,1,1,3,1,1,3,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5,5,5,5,3,5,5,6,6,6,6,6,6,6,,5,5,5,5,5,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,5,1,1,5,3,1,1,5,5,5,5,1,5,3,6,1,6,1,6,6,6,6,1,6,1,1,1.0,3.0,0,0.0,12.0,2.0,0,,4.0,5,3,15.0,1,15.0,3.0,7,0,1,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,354,5,2,2496.0,2.0,6.0,1.0,0.0,0.0,1.0,2,3.0,1,,,1200,2003,2,2,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,2,4,5,3,4,1,5,1,3,,0,1,0.0,1,0,0,0,0.0,,,,,,1.0,5,98,1,2,1.0,0.0,4,2,3,2,4,3,1,3,1,1,1,1,1,1,1,3,4,4,1,4,4,2,3,5,5,4,4,5,4,6,6,6,6,6,6,6,,5,2,1,1,5,1,4,5,2,5,5,1,1,3,2,5,1,4,3,2,5,4,1,2,5,1,1,4,2,2,2,4,3,1,6,6,6,1,5,6,6,6,2,6,1,1,98.0,,0,0.0,,,0,,1.0,2,4,,4,,1.0,1,1,0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,359,6,2,3035.0,2.0,4.0,97.0,0.0,0.0,1.0,2,4.0,1,,,500,2000,98,3,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,3,3,5,4,4,1,5,0,1,,0,1,0.0,0,0,0,0,0.0,,,,,,0.0,3,3,98,1,2.0,0.0,2,1,2,2,2,2,1,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,3,1,1,3,4,1,1,4,3,4,5,3,2,4,4,4,4,4,4,1,4,4,2,5,5,3,1,5,5,2,3,2,2,1,6,6,6,6,6,6,6,6,1,1,4,1,98.0,,0,0.0,,,0,,1.0,2,4,,4,,1.0,1,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,394,6,1,3068.0,3.0,1.0,97.0,0.0,1.0,1.0,2,4.0,1,,,900,2008,98,4,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,3,3,3,3,3,3,3,98,3,,0,1,1.0,0,0,0,0,0.0,,,,,,1.0,1,1,98,98,98.0,0.0,4,3,2,2,3,1,3,98,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,5,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,4,98,0.0,7.0,0,0.0,10.0,2.0,0,,3.0,99,99,,99,,2.0,99,99,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,415,5,1,3031.0,3.0,5.0,1.0,0.0,1.0,0.0,3,2.0,1,,,700,2010,4,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,2,3,5,3,5,5,3,98,3,62.0,0,1,0.0,0,0,0,0,0.0,,,,,,0.0,2,2,98,2,4.0,0.0,4,2,3,3,3,2,3,3,3,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,5,4,5,5,4,6,6,6,6,6,6,6,,3,3,1,2,2,1,1,3,3,3,1,4,3,2,2,2,2,4,3,3,3,4,3,4,4,2,2,4,2,2,2,2,5,6,6,6,6,6,6,6,6,6,2,6,1,1,98.0,,0,0.0,,,0,,1.0,2,4,,4,,1.0,1,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,459,2,1,3066.0,2.0,1.0,97.0,0.0,1.0,1.0,3,3.0,1,,,1100,2017,2,4,0,1,1,0,0,0,1,0,1,0,,,,,,,,,,,3,3,2,2,2,2,2,1,3,66.0,0,0,0.0,0,1,0,0,0.0,,,,,,1.0,3,3,98,1,4.0,80.0,3,3,3,3,3,3,1,3,4,3,4,3,4,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,3,4,5,4,4,5,4,4,1.0,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,5,4,4,4,4,4,4,5,4,4,4,1,98.0,6.0,0,0.0,11.0,2.0,1,7.0,3.0,4,2,,98,,2.0,3,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,489,3,2,3021.0,3.0,1.0,1.0,0.0,0.0,1.0,4,4.0,2,1.0,540000.0,1400,2015,2,2,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,,2,3,4,3,3,2,5,0,2,38.0,0,1,0.0,0,0,0,0,0.0,,,,,,1.0,3,1,1,2,2.0,10.0,2,1,4,2,4,2,1,2,1,1,2,4,2,2,2,4,4,4,4,4,4,4,5,5,5,4,4,3,3,6,6,6,6,6,6,6,,5,5,5,4,4,4,5,3,2,5,5,4,4,4,2,4,3,5,2,2,4,5,1,2,4,2,1,4,1,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,1,1,98.0,2.0,1,1.0,7.0,3.0,1,10.0,5.0,4,1,15.0,2,,2.0,6,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,510,4,2,2593.0,3.0,1.0,1.0,0.0,0.0,1.0,1,5.0,2,1.0,450000.0,1600,1999,4,5,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,2,2,4,4,2,4,4,1,3,70.0,0,1,0.0,0,1,0,0,0.0,,,,,,1.0,2,2,5,1,4.0,2.0,2,1,1,1,4,3,1,3,1,1,2,1,1,1,1,1,1,2,3,1,1,1,4,3,3,2,4,4,3,6,6,6,6,6,6,6,,5,2,2,4,5,5,5,5,5,5,5,5,2,3,3,4,5,5,3,2,5,5,1,3,5,1,1,4,1,1,3,2,1,4,6,6,6,5,1,6,5,5,4,1,1,1,98.0,2.0,0,0.0,5.0,3.0,1,6.0,4.0,5,3,5.0,2,,2.0,7,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,639,6,1,2553.0,2.0,4.0,97.0,0.0,1.0,1.0,1,3.0,1,,,850,1981,4,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,1,2,4,2,3,4,3,98,3,75.0,0,1,0.0,0,0,0,0,0.0,,,,,,1.0,3,2,3,2,3.0,1.0,4,3,1,1,1,1,3,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,5,3,3,1,3,3,3,1,1,3,3,4,4,4,4,4,4,4,3,3,4,4,2,2,4,3,2,3,2,3,3,3,2,3,4,5,5,3,3,3,6,6,3,3,1,1,98.0,,0,0.0,,,1,7.0,1.0,2,1,5.0,3,5.0,2.0,7,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,663,2,2,3052.0,3.0,1.0,1.0,0.0,0.0,1.0,2,3.0,2,1.0,240000.0,1000,2017,3,1,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,2,2,3,4,3,1,1,1,3,51.0,0,1,0.0,1,0,0,0,0.0,,,,,,1.0,4,2,2,1,2.0,1.0,3,3,4,1,3,1,95,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,4,3,3,6,6,6,6,6,6,6,,3,3,3,3,4,3,3,3,4,3,3,5,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,3,1,0.0,1.0,0,0.0,9.0,3.0,1,7.0,3.0,4,1,30.0,98,,2.0,7,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,853,6,1,2595.0,3.0,4.0,1.0,0.0,0.0,1.0,1,6.0,2,6.0,750000.0,1500,2016,3,3,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,3,4,4,4,4,4,4,0,1,98.0,0,1,0.0,0,0,0,0,0.0,,,,,,0.0,1,3,98,1,5.0,25.0,4,4,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,5,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,1,1,1,3,1,1,5,1,1,1,2,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1.0,,0,0.0,,,1,9.0,3.0,4,1,20.0,3,25.0,2.0,7,0,0,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,882,5,2,3079.0,3.0,2.0,1.0,0.0,0.0,1.0,1,4.0,2,2.0,260000.0,1050,2010,4,1,0,1,0,0,1,0,1,0,0,0,,,,,,,,,,,1,2,4,3,4,2,3,98,2,,0,1,0.0,0,0,0,0,0.0,,,,,,0.0,1,2,2,1,4.0,10.0,3,3,4,1,5,1,1,3,1,1,1,1,1,1,1,1,3,3,4,3,3,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,5,1,1,1,4,1,4,4,3,5,3,5,3,3,2,4,2,5,3,3,5,4,1,3,3,2,1,4,3,2,2,2,2,1,6,6,6,1,6,1,6,6,1,1,3,98,1.0,5.0,0,0.0,12.0,4.0,1,6.0,99.0,4,1,1.0,98,,2.0,3,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,964,5,2,3067.0,3.0,2.0,1.0,0.0,1.0,1.0,2,4.0,2,4.0,250000.0,500,2000,2,3,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,3,3,3,3,3,3,3,1,3,42.0,0,0,0.0,1,0,0,0,0.0,,,,,,0.0,2,2,3,2,3.0,0.0,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5,5,5,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,2,5,5,5,5,3,3,1.0,3.0,0,0.0,10.0,1.0,1,10.0,4.0,5,3,25.0,1,25.0,3.0,99,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1012,2,2,3078.0,2.0,97.0,1.0,0.0,0.0,1.0,4,98.0,1,,,800,2010,98,3,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,3,3,3,3,5,4,3,98,3,,0,1,1.0,0,1,0,0,0.0,,,,,,1.0,4,98,98,98,3.0,0.0,3,2,1,1,3,3,2,98,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,3,3,3,4,6,6,6,6,6,6,6,,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,2,4,4,3,5,2,3,1,6,6,6,6,6,6,6,6,6,6,3,98,98.0,,0,0.0,,,0,,1.0,3,1,0.0,98,,98.0,1,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1063,4,1,2573.0,2.0,1.0,1.0,0.0,1.0,0.0,2,2.0,1,,,630,2018,4,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1,3,3,4,3,3,2,98,1,54.0,0,0,0.0,0,0,0,1,0.0,,,,,,1.0,1,1,2,2,2.0,5.0,3,1,2,1,2,1,2,2,1,1,1,1,1,1,1,3,3,4,5,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,1,1,98.0,1.0,0,0.0,7.0,2.0,0,,2.0,3,1,50.0,1,50.0,1.0,1,1,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1091,5,1,3055.0,4.0,1.0,2.0,1.0,1.0,1.0,2,6.0,2,4.0,650000.0,2000,1986,2,1,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,4,2,2,2,2,2,3,0,3,15.0,0,1,0.0,0,0,0,0,0.0,,,,,,1.0,4,2,4,1,4.0,15.0,4,2,3,1,3,1,1,3,1,3,3,4,4,4,3,1,3,3,4,3,4,3,5,4,5,2,3,2,3,6,6,6,5,2,1,6,1.0,5,5,5,4,4,5,2,3,4,5,5,4,2,3,3,4,4,3,2,2,4,3,1,1,3,1,1,5,3,2,2,1,2,1,6,5,2,2,5,1,5,6,1,6,1,1,1.0,2.0,1,1.0,10.0,2.0,1,7.0,5.0,4,3,30.0,3,0.0,2.0,7,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1272,6,1,3087.0,3.0,2.0,1.0,1.0,0.0,1.0,1,3.0,2,3.0,325000.0,1000,2001,4,2,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,2,3,1,2,2,3,3,98,3,36.0,0,1,0.0,0,0,0,0,0.0,,,,,,1.0,4,1,5,1,4.0,50.0,1,2,2,1,4,1,1,3,1,1,3,5,3,4,4,3,1,3,5,2,4,3,5,5,4,1,3,3,4,6,6,6,1,5,5,5,98.0,5,1,1,3,5,5,5,3,2,5,5,5,1,1,4,4,4,4,2,2,4,5,1,3,5,1,1,2,1,1,1,2,1,1,6,6,5,5,1,1,5,5,4,1,1,1,1.0,2.0,0,0.0,8.0,4.0,1,5.0,99.0,4,1,20.0,3,10.0,2.0,7,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1578,4,1,2565.0,3.0,1.0,97.0,0.0,0.0,1.0,2,4.0,2,2.0,245000.0,1150,2016,98,3,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,5,1,1,2,2,2,2,1,2,60.0,0,1,0.0,1,1,0,0,0.0,,,,,,1.0,2,3,4,1,3.0,10.0,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,2,6,6,6,6,6,6,6,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,2,3,4,3,3,3,4,2,3,3,4,2,4,3,6,6,6,6,6,6,6,6,6,6,6,3,1,0.0,5.0,0,1.0,9.0,1.0,1,10.0,3.0,4,3,14.0,3,20.0,2.0,99,0,0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,2,1,200001.0,,,,0.0,0.0,1.0,1,4.0,1,,,4000,2018,2,2,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,2,4,2,4,3,3,2,98,2,58.0,0,0,1.0,0,0,0,0,0.0,,,,,,0.0,2,3,4,3,4.0,0.0,3,1,2,3,2,4,2,2,1,2,2,2,3,2,2,4,4,3,3,3,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,3.0,3,5,3,4,5,5,5,4,4,4,4,5,4,5,4,5,4,5,4,4,4,5,5,5,5,4,5,5,5,5,4,5,5,6,6,5,6,6,6,6,5,6,6,6,3,5,,,1,,12.0,1.0,1,4.0,,5,3,20.0,3,30.0,,7,0,0,0,1,0,,6.0,1.0,3.0,2.0,56.0,65.0,,,2.0,4.0,1.0,12.0,6.0,99.0,,,,,,,,,,,,,,,,,
21,26,2,2,200000.0,,,,1.0,0.0,1.0,2,5.0,2,6.0,1000000.0,2000,2016,4,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,2,2,3,2,3,2,2,0,3,50.0,0,1,,1,1,0,0,0.0,,,,,,1.0,1,3,98,1,3.0,25.0,3,2,4,4,4,4,1,3,1,1,3,1,3,1,2,3,3,3,2,3,4,3,4,4,4,2,2,4,3,6,6,6,6,1,6,6,98.0,4,3,3,3,3,2,3,3,3,4,3,4,2,3,2,3,3,3,3,4,5,4,1,3,3,4,4,3,3,2,3,2,3,1,6,4,2,2,6,1,1,1,1,1,4,98,,,0,,12.0,2.0,1,8.0,,3,1,50.0,1,50.0,,7,0,1,0,0,0,0.0,5.0,1.0,3.0,2.0,51.0,51.0,,,3.0,3.0,1.0,13.0,4.0,3.0,,,,,,,,,,,,,,,,,
