ID,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_no_SM1,R2_implementation_no_SM2,R2_implementation_no_SM3,R2_implementation_no_SM4,R2_implementation_no_SM5,R2_implementation_no_SM6,R2_implementation_no_SM7,R2_implementation_no_NM1,R2_implementation_no_NM2,R2_implementation_no_NM3,R2_implementation_no_NM4,R2_implementation_no_NM5,R2_implementation_no_NM6,R2_implementation_no_NM7,R2_implementation_no_NM8,R2_implementation_no_NM9,R2_implementation_no_NM10,R2_implementation_no_NM11,R2a_implementation_change_SM1,R2a_implementation_change_SM2,R2a_implementation_change_SM3,R2a_implementation_change_SM4,R2a_implementation_change_SM5,R2a_implementation_change_SM6,R2a_implementation_change_SM7,R2a_implementation_change_NM1,R2a_implementation_change_NM2,R2a_implementation_change_NM3,R2a_implementation_change_NM4,R2a_implementation_change_NM5,R2a_implementation_change_NM6,R2a_implementation_change_NM7,R2a_implementation_change_NM8,R2a_implementation_change_NM9,R2a_implementation_change_NM10,R2a_implementation_change_NM11,R02a_perc_prob_change ,R02_perc_prob,R02_perc_prob_other,R03a_perc_damage_change ,R03_perc_damage,R04a_perc_health_change,R04_perc_health,R05a_worry_change,R05_worry,R06a_media_freq,R06b_social_media_freq ,R010_flood_convo,R011_local_flood_convo,R01a_resilience_1_change,R01_resilience_1,R01a_resilience_2_change,R01_resilience_2,R01a_resilience_3_change,R01_resilience_3,R01a_resilience_4_change,R01_resilience_4,R01a_resilience_5_change,R01_resilience_5,Q17a_covid_risk,Q17b_covid_survival,Q17c_covid_asymp,Q18_lottery_chance,Q19a_car_risk,Q19b_car_impact,Q20a_plane_risk,Q20b_plane_survival,Q21_move_city,Q22_move_houses,Q23_social_network,R09_savings_change,R09a_savings_change_frac,R08a_economic_comfort_change,R08_economic_comfort,R012_lost_job,R012a_lost_job_impact,S0_chars_place,S0_chars_flood_risk,S0_chars_social_net,S0_chars_employment,S0_chars_cost,S1_current_situation,S2_moderate_flood,S3_heavy_flood
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0,5.0,,1,,1,,1,,3,3,1,1.0,1,,1,,1,,1,,1,,,,,,,1,,,1,1,3,1,10,1,,1,3.0,2,2,4,2,2,1,1,1
26,,,,,,,,,,3.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1,,,1,,1,,1,,4,4,5,4.0,1,,1,,1,,1,,1,,1.0,99.0,1.0,0.0,1.0,3,1.0,99.0,2,2,3,1,20,1,,0,,1,1,1,2,1,2,2,1
47,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.0,,1,,1,,1,,3,3,0,,1,,1,,1,,1,,1,,0.0,50.0,0.0,0.1,,2,,,2,1,3,3,,1,,0,,1,2,1,1,1,2,3,2
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,3,0,,1,,1,,1,,1,,1,,,,,,,98,,,0,3,3,3,,0,3.0,0,,1,2,1,1,1,3,3,3
182,,,,2.0,,2.0,,3.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,3,1,1.0,1,,1,,1,,1,,1,,,,,,,1,,,1,1,5,2,0,1,,0,,2,2,4,1,1,2,2,2
205,,,,,,,,2.0,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,2,3,0,,1,,1,,0,3.0,0,3.0,1,,,,,,,3,,,1,0,3,3,,1,,0,,2,3,4,1,2,3,3,3
280,1.0,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,3,2,1.0,1,,1,,1,,1,,1,,60.0,70.0,50.0,60.0,30.0,4,20.0,60.0,2,3,4,1,30,1,,0,,2,3,3,2,1,1,2,1
291,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,0,3.0,1,,1,,3,4,1,1.0,1,,1,,1,,1,,1,,0.0,50.0,0.0,0.0,0.0,3,0.0,100.0,2,0,2,3,,1,,0,,1,1,2,2,1,3,3,1
301,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,0,5.0,,1,,1,,0,2.0,2,3,3,1.0,1,,0,4.0,0,3.0,0,4.0,1,,10.0,50.0,,0.1,,2,,50.0,2,1,4,2,20,1,,0,,2,1,3,2,1,1,1,1
302,,,,,,,,,,,,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,,2.0,1.0,,,,,,,2.0,,,,,,,,,,4.0,,,,1,,,1,,1,,1,,1,5,5,5.0,1,,1,,1,,1,,1,,1.0,20.0,40.0,0.0,,5,0.0,,2,3,5,1,0.2,0,3.0,0,,1,2,1,1,2,2,2,2
304,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,0,1.0,3,3,0,,1,,1,,1,,1,,1,,,,,0.0,0.0,2,,,8,2,3,3,,0,4.0,1,3.0,2,1,3,2,1,2,2,1
311,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,3,0,,1,,1,,1,,1,,1,,,,,,,98,,,1,1,3,3,,1,,0,,1,2,2,1,1,3,3,3
376,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,0,3.0,3,4,1,1.0,1,,1,,1,,1,,1,,1.0,99.0,1.0,0.0,1.0,2,,,1,0,4,1,40,1,,0,,2,1,4,1,2,2,2,2
387,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,4,0,,1,,1,,1,,1,,1,,,,,,,3,,,0,0,3,3,,1,,0,,2,3,4,2,2,2,2,2
499,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,1,,1,,1,,1,,1,,,90.0,,,,98,0.0,,2,2,1,2,30,1,,0,,2,3,4,1,1,3,3,3
588,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0,1.0,,0,3.0,0,3.0,0,2.0,3,3,1,1.0,0,3.0,0,3.0,0,3.0,0,3.0,0,3.0,,,,,,3,,,10,1,3,1,10,0,4.0,0,,2,2,3,2,2,2,2,2
662,,,1.0,,3.0,,,2.0,,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,,3.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,1.0,1,,0,1.0,4,2,0,,0,2.0,0,3.0,0,3.0,0,4.0,1,,5.0,60.0,5.0,0.0,0.0,3,0.0,70.0,2,1,1,2,-20,1,,1,4.0,2,2,4,2,1,2,2,1
680,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,0,3.0,1,,1,,1,,1,,0.0,90.0,1.0,1.0,1.0,2,1.0,90.0,2,1,3,3,,1,,0,,2,1,3,2,1,3,3,3
693,,,,,,,,2.0,,3.0,,,,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,3,0,,1,,1,,1,,1,,1,,10.0,60.0,,0.0,,98,,90.0,1,1,5,3,,1,,0,,2,3,4,1,2,3,3,1
743,,,,,,,,2.0,,,2.0,2.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,2,4,3,3.0,1,,1,,1,,1,,1,,,60.0,,2.0,,98,,,1,0,3,1,3,1,,0,,1,2,2,1,2,3,3,1
